CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,,,,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn
1,64,Female,3,25,2,11,Standard,Quarterly,415,29,1,,,Age,,,,,,,,
2,27,Female,52,8,7,3,Standard,Monthly,434,19,1,,,Tenure,,,,,,,,
3,59,Male,26,21,0,10,Premium,Monthly,822,17,1,,,Usage Frequency,,,,,,,,
4,32,Male,6,22,3,12,Basic,Monthly,413,20,1,,,Support Calls,,,,,,,,
5,23,Female,26,21,7,24,Basic,Quarterly,988,20,1,,,Payment Delay,,,,,,,,
6,42,Female,7,9,1,11,Basic,Annual,196,18,1,,,Total Spend,,,,,,,,
7,36,Male,2,15,3,29,Premium,Monthly,501,4,1,,,Last Interaction,,,,,,,,
8,22,Female,43,16,8,21,Standard,Monthly,966,30,1,,,Churn,,,,,,,,
9,32,Male,3,5,1,6,Standard,Annual,282,20,1,,,,,,,,,,,
10,44,Female,43,1,8,28,Standard,Monthly,548,28,1,,,,,,,,,,,
11,45,Female,25,4,8,13,Premium,Quarterly,681,26,1,,,,,,,,,,,
12,55,Female,54,2,5,0,Standard,Monthly,159,29,1,,,,,,,,,,,
13,55,Female,34,6,2,7,Basic,Annual,392,5,1,,,,,,,,,,,
14,28,Male,33,14,7,29,Basic,Monthly,856,6,1,,,,,,,,,,,
15,60,Female,53,23,1,10,Standard,Quarterly,917,12,1,,,,,,,,,,,
16,18,Female,46,30,0,5,Basic,Quarterly,269,10,1,,,,,,,,,,,
17,58,Male,32,6,4,5,Premium,Annual,684,28,1,,,,,,,,,,,
18,51,Male,2,6,1,23,Standard,Quarterly,959,23,1,,,,,,,,,,,
19,49,Male,18,18,8,20,Basic,Quarterly,517,1,1,,,,,,,,,,,
20,63,Male,35,13,5,9,Premium,Annual,947,10,1,,,,,,,,,,,
21,53,Female,51,4,9,1,Basic,Quarterly,325,18,1,,,,,,,,,,,
22,54,Female,54,4,4,15,Standard,Monthly,855,27,1,,,,,,,,,,,
23,61,Male,49,27,0,2,Basic,Monthly,937,25,1,,,,,,,,,,,
24,43,Male,49,22,8,29,Basic,Quarterly,261,11,1,,,,,,,,,,,
25,43,Male,59,8,9,27,Premium,Monthly,535,22,1,,,,,,,,,,,
26,34,Female,19,17,1,5,Premium,Quarterly,201,1,1,,,,,,,,,,,
27,55,Female,12,13,1,7,Standard,Annual,167,11,1,,,,,,,,,,,
28,48,Female,2,30,1,19,Premium,Monthly,408,8,1,,,,,,,,,,,
29,63,Male,48,10,3,9,Basic,Monthly,448,18,1,,,,,,,,,,,
30,54,Male,38,7,7,14,Basic,Quarterly,715,8,1,,,,,,,,,,,
31,59,Female,24,24,2,3,Basic,Annual,516,25,1,,,,,,,,,,,
32,56,Male,15,18,3,11,Premium,Annual,471,12,1,,,,,,,,,,,
33,52,Female,56,14,10,29,Standard,Quarterly,719,4,1,,,,,,,,,,,
34,44,Male,2,27,7,12,Premium,Quarterly,936,3,1,,,,,,,,,,,
35,31,Male,46,13,3,20,Basic,Annual,211,7,1,,,,,,,,,,,
36,54,Female,33,19,1,19,Basic,Quarterly,802,6,1,,,,,,,,,,,
37,44,Female,50,19,5,28,Standard,Monthly,618,24,1,,,,,,,,,,,
38,29,Female,56,12,9,25,Premium,Monthly,144,19,1,,,,,,,,,,,
39,58,Female,29,5,5,26,Standard,Quarterly,262,2,1,,,,,,,,,,,
40,32,Female,9,12,4,30,Premium,Quarterly,936,23,1,,,,,,,,,,,
41,35,Male,57,11,4,21,Standard,Annual,532,12,1,,,,,,,,,,,
42,54,Male,3,17,4,27,Standard,Annual,401,21,1,,,,,,,,,,,
43,46,Male,9,26,0,28,Standard,Quarterly,569,27,1,,,,,,,,,,,
44,35,Female,46,16,1,10,Standard,Monthly,411,12,1,,,,,,,,,,,
45,42,Female,8,9,6,3,Premium,Annual,704,26,1,,,,,,,,,,,
46,60,Male,55,27,1,30,Premium,Annual,730,11,1,,,,,,,,,,,
47,29,Male,8,8,3,14,Premium,Annual,748,21,1,,,,,,,,,,,
48,29,Male,59,5,5,12,Standard,Annual,209,12,1,,,,,,,,,,,
49,41,Male,23,6,3,20,Premium,Monthly,327,23,1,,,,,,,,,,,
50,31,Female,43,4,4,2,Standard,Monthly,873,14,1,,,,,,,,,,,
51,21,Female,52,5,7,29,Basic,Monthly,708,16,1,,,,,,,,,,,
52,60,Female,50,11,1,7,Standard,Annual,937,14,1,,,,,,,,,,,
53,52,Female,14,18,2,29,Basic,Annual,786,30,1,,,,,,,,,,,
54,19,Male,10,16,5,8,Standard,Monthly,403,27,1,,,,,,,,,,,
